City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nyurba,63.2842,118.3319,-12.16,92,11,1.79,RU,1697308723
1,keflavik,64.0049,-22.5624,4.95,81,100,3.6,IS,1697308726
2,lebu,-37.6167,-73.65,12.15,71,89,7.86,CL,1697308728
3,constantia,44.1833,28.65,15.39,81,1,5.24,RO,1697308731
4,pitkyaranta,61.5734,31.4792,8.62,81,5,8.8,RU,1697308733
5,edinburgh of the seven seas,-37.0676,-12.3116,14.39,98,100,7.69,SH,1697308735
6,ushuaia,-54.8,-68.3,7.81,57,0,9.26,AR,1697308737
7,medicine hat,50.0501,-110.6683,13.73,49,75,0.0,CA,1697308738
8,tambura,5.6,27.4667,24.37,77,84,0.53,SS,1697308739
9,fallon,39.4735,-118.7774,21.62,31,0,4.63,US,1697308740
10,yellowknife,62.456,-114.3525,9.67,80,20,9.26,CA,1697308644
11,adamstown,-25.066,-130.1015,20.99,70,88,0.82,PN,1697308741
12,blackmans bay,-43.0167,147.3167,7.07,80,97,0.45,AU,1697308742
13,uturoa,-16.7333,-151.4333,25.85,73,6,5.5,PF,1697308743
14,ribeira grande,38.5167,-28.7,22.22,78,20,3.09,PT,1697308744
15,great falls,47.5002,-111.3008,14.27,63,0,4.63,US,1697308745
16,jackson,42.4165,-122.8345,15.21,81,20,2.06,US,1697308639
17,jamestown,42.097,-79.2353,8.9,92,100,5.14,US,1697308746
18,sitka,57.0531,-135.33,11.94,82,100,5.66,US,1697308747
19,lamar,33.6668,-95.5836,18.88,53,0,6.17,US,1697308748
20,kone,-21.0595,164.8658,21.01,93,36,1.64,NC,1697308749
21,ciudad melchor muzquiz,27.8833,-101.5167,21.07,36,94,3.06,MX,1697308749
22,atafu village,-8.5421,-172.5159,28.77,73,99,9.72,TK,1697308750
23,waitangi,-43.9535,-176.5597,13.23,90,1,4.02,NZ,1697308751
24,nuku'alofa,-21.1333,-175.2,22.19,83,40,4.63,TO,1697308752
25,albany,42.6001,-73.9662,13.23,70,100,0.45,US,1697308752
26,yichang,30.7144,111.2847,17.57,76,0,1.92,CN,1697308753
27,port-aux-francais,-49.35,70.2167,1.22,67,45,9.0,TF,1697308754
28,nizhnevartovsk,60.9344,76.5531,4.01,93,0,4.02,RU,1697308754
29,singrauli,24.1997,82.6753,21.98,59,26,1.9,IN,1697308755
30,puerto armuelles,8.2833,-82.8667,29.99,74,99,2.24,PA,1697308756
31,berezovyy,51.6667,135.7,6.68,83,2,1.59,RU,1697308757
32,tawau,4.2498,117.8871,25.07,94,99,0.45,MY,1697308757
33,grytviken,-54.2811,-36.5092,-2.37,79,46,4.39,GS,1697308758
34,margaret river,-33.95,115.0667,12.45,80,8,5.59,AU,1697308668
35,udachny,66.4167,112.4,-9.75,85,5,1.64,RU,1697308759
36,bethel,41.3712,-73.414,11.2,86,100,1.54,US,1697308760
37,puerto natales,-51.7236,-72.4875,12.25,47,20,11.32,CL,1697308761
38,bredasdorp,-34.5322,20.0403,15.38,81,100,9.1,ZA,1697308761
39,ilulissat,69.2167,-51.1,-1.99,74,100,7.2,GL,1697308762
40,matteson,41.5039,-87.7131,11.82,91,100,4.63,US,1697308763
41,lazaro cardenas,17.9583,-102.2,30.16,71,85,2.88,MX,1697308763
42,selfoss,63.9331,-20.9971,3.8,90,100,0.96,IS,1697308764
43,port mathurin,-19.6833,63.4167,22.92,65,0,5.76,MU,1697308765
44,udalguri,26.7667,92.1333,21.18,89,1,1.27,IN,1697308766
45,durango,24.8333,-104.8333,24.32,46,3,3.62,MX,1697308575
46,zaragoza,41.6561,-0.8773,22.25,48,0,3.6,ES,1697308767
47,nar'yan-mar,67.6713,53.087,-2.16,93,47,1.79,RU,1697308768
48,abatskoye,56.2875,70.4555,5.03,89,81,4.32,RU,1697308770
49,tadine,-21.55,167.8833,21.71,92,97,4.62,NC,1697308770
50,talnakh,69.4865,88.3972,1.23,94,100,3.14,RU,1697308771
51,west island,-12.1568,96.8225,24.99,83,75,5.66,CC,1697308772
52,beledweyne,4.7358,45.2036,29.77,57,75,7.07,SO,1697308772
53,college,64.8569,-147.8028,3.78,85,100,0.0,US,1697308773
54,hermanus,-34.4187,19.2345,16.12,79,89,10.0,ZA,1697308774
